FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
20/04/2023 17:12:00,20/04/2023,17:12:46,QC09_3,STC_7625,3,,Pobs,,
21/04/2023 20:14:00,21/04/2023,20:14:22,QC09_3,STC_9719,2,,Btau,,
22/04/2023 0:28:00,22/04/2023,00:28:56,QC09_3,STC_9758,1,,Btau,,
22/04/2023 8:01:00,22/04/2023,08:01:07,QC09_3,STC_9767,1,,Oori,,
23/04/2023 11:56:00,23/04/2023,11:56:56,QC09_3,STC_9784,2,,Btau,,
23/04/2023 13:56:00,23/04/2023,13:56:24,QC09_3,STC_9790,1,,Ecab,,
23/04/2023 15:54:00,23/04/2023,15:54:06,QC09_3,STC_9868,2,,Btau,,
23/04/2023 18:03:00,23/04/2023,18:03:18,QC09_3,STC_9898,1,,Btau,,
25/04/2023 18:16:00,25/04/2023,18:16:13,QC09_3,STC_9913,3,,Btau,,
25/04/2023 19:41:00,25/04/2023,19:41:05,QC09_3,STC_9919,3,,Ecab,,
25/04/2023 22:31:00,25/04/2023,22:31:01,QC09_3,STC_9952,2,,Ecab,,
26/04/2023 2:15:00,26/04/2023,02:15:51,QC09_3,STC_9962,1,,Ecab,,
26/04/2023 5:03:00,26/04/2023,05:03:51,QC09_3,STC_9983,1,,Ecab,,
26/04/2023 7:02:00,26/04/2023,07:02:15,QC09_3,STC_9991,1,,Btau,,
27/04/2023 8:23:00,27/04/2023,08:23:48,QC09_3,STC_9994,1,,Rame,,
28/04/2023 17:51:00,28/04/2023,17:51:24,QC09_3,STC_0037,2,,Rame,,
28/04/2023 18:41:00,28/04/2023,18:41:47,QC09_3,STC_0064,1,,Oori,,
28/04/2023 18:42:00,28/04/2023,18:42:01,QC09_3,STC_0067,1,,Chir,,
29/04/2023 8:38:00,29/04/2023,08:38:57,QC09_3,STC_0139,3,,Oori,,
29/04/2023 9:42:00,29/04/2023,09:42:23,QC09_3,STC_0205,3,,Rame,,
1/06/2023 11:37:22,01/06/2023,11:37:22,QC01_2,IMG_0091,1,,Chir,,
1/06/2023 16:28:07,01/06/2023,16:28:07,QC01_2,IMG_0098,1,,Chir,,
10/05/2023 10:48:30,10/05/2023,10:48:30,QC11_2,IMG_0097,1,,Ave_sp,,
10/05/2023 15:44:39,10/05/2023,15:44:39,QC11_2,IMG_0103,1,,Ave_sp,,
10/05/2023 17:42:17,10/05/2023,17:42:17,QC01_1,IMG_0175,1,,Ave_sp,,
10/05/2023 17:55:37,10/05/2023,17:55:37,QC11_2,IMG_0106,1,,Ave_sp,,
10/05/2023 20:29:48,10/05/2023,20:29:48,QC01_1,IMG_0178,1,,Dnov,,
10/05/2023 8:44:23,10/05/2023,08:44:23,QC01_1,IMG_0169,1,,Acaj,,
10/06/2023 15:29:47,10/06/2023,15:29:47,QC01_1,IMG_0271,2,,Chir,,
10/06/2023 8:54:34,10/06/2023,08:54:34,QC11_2,IMG_0190,1,,Btau,,
11/05/2023 10:05:54,11/05/2023,10:05:54,QC01_1,IMG_0187,1,,Acaj,,
11/06/2023 17:04:31,11/06/2023,17:04:31,QC11_2,IMG_0202,1,,Btau,,
12/05/2023 8:27:42,12/05/2023,08:27:42,QC01_3,IMG_0115,1,,Chir,,
12/06/2023 14:50:27,12/06/2023,14:50:27,QC01_3,IMG_0154,1,,Pobs,,
12/06/2023 16:46:33,12/06/2023,16:46:33,QC01_2,IMG_0109,2,,Chir,,
13/05/2023 7:27:41,13/05/2023,07:27:41,QC01_1,IMG_0193,1,,Ave_sp,,
13/06/2023 12:15:41,13/06/2023,12:15:41,QC11_2,IMG_0214,1,,Ave_sp,,
13/06/2023 17:14:39,13/06/2023,17:14:39,QC11_2,IMG_0217,1,,Truf,,
13/06/2023 6:24:03,13/06/2023,06:24:03,QC01_3,IMG_0160,1,,Pcan,,
14/05/2023 11:38:14,14/05/2023,11:38:14,QC11_3,IMG_0049,1,,Btau,,
14/05/2023 23:56:25,14/05/2023,23:56:25,QC01_3,IMG_0118,1,,Dnov,,
14/06/2023 10:41:53,14/06/2023,10:41:53,QC11_2,IMG_0220,1,,Ave_sp,,
15/04/2023 13:13:50,15/04/2023,13:13:50,QC01_1,IMG_0016,1,,Cfam,Obs_M,
15/04/2023 17:53:03,15/04/2023,17:53:03,QC01_1,IMG_0026,2,,Chir,,
15/04/2023 22:40:39,15/04/2023,22:40:39,QC01_1,IMG_0034,1,,Dnov,,
15/05/2023 15:24:47,15/05/2023,15:24:47,QC11_2,IMG_0109,1,,Ave_sp,,
15/06/2023 21:45:30,15/06/2023,21:45:30,QC01_1,IMG_0289,1,,Dnov,,
15/06/2023 7:43:29,15/06/2023,07:43:29,QC11_2,IMG_0223,1,,Ave_sp,,
16/04/2023 13:54:03,16/04/2023,13:54:03,QC11_3,IMG_0001,1,,Lgym,,
16/04/2023 16:23:10,16/04/2023,16:23:10,QC01_3,IMG_0016,3,,Chir,,
16/04/2023 23:35:47,16/04/2023,23:35:47,QC01_3,IMG_0036,1,,Dnov,,
16/05/2023 15:08:07,16/05/2023,15:08:07,QC11_2,IMG_0112,1,,Ave_sp,,
16/06/2023 10:03:48,16/06/2023,10:03:48,QC11_2,IMG_0226,1,,Truf,,
16/06/2023 17:30:02,16/06/2023,17:30:02,QC01_2,IMG_0115,1,,Chir,,
17/04/2023 17:19:09,17/04/2023,17:19:09,QC11_2,IMG_0010,1,,Ctho,,
17/05/2023 16:01:49,17/05/2023,16:01:49,QC01_1,IMG_0205,1,,Acaj,,
17/05/2023 4:21:09,17/05/2023,04:21:09,QC01_1,IMG_0199,1,,Ctho,,
18/04/2023 13:16:55,18/04/2023,13:16:55,QC01_3,IMG_0037,1,,Pobs,,
18/04/2023 17:57:48,18/04/2023,17:57:48,QC11_3,IMG_0033,1,,Btau,,
18/04/2023 17:57:48,18/04/2023,17:57:48,QC11_3,IMG_0031,1,,Btau,,
18/04/2023 18:02:05,18/04/2023,18:02:05,QC01_1,IMG_0076,1,,Ave_sp,,
18/04/2023 21:50:05,18/04/2023,21:50:05,QC01_1,IMG_0079,1,,Dalb,,
18/04/2023 23:03:43,18/04/2023,23:03:43,QC01_1,IMG_0085,1,,Ctho,,
19/04/2023 13:00:21,19/04/2023,13:00:21,QC01_3,IMG_0043,2,,Caur,Obs_A_J,
19/05/2023 16:00:03,19/05/2023,16:00:03,QC01_1,IMG_0214,1,,Chir,,
19/05/2023 23:13:06,19/05/2023,23:13:06,QC01_1,IMG_0220,1,,Dnov,,
19/05/2023 8:54:16,19/05/2023,08:54:16,QC01_1,IMG_0211,1,,Acaj,,
2/05/2023 13:37:24,02/05/2023,13:37:24,QC01_2,IMG_0034,2,,Chir,,
2/05/2023 19:54:03,02/05/2023,19:54:03,QC01_1,IMG_0153,1,,Dnov,,
20/04/2023 14:45:07,20/04/2023,14:45:07,QC11_2,IMG_0013,1,,Btau,,
20/04/2023 18:00:07,20/04/2023,18:00:07,QC01_3,IMG_0103,1,,Chir,,
20/05/2023 0:50:10,20/05/2023,00:50:10,QC01_3,IMG_0124,1,,Dnov,,
20/05/2023 11:13:12,20/05/2023,11:13:12,QC01_1,IMG_0232,1,,Acaj,,
21/04/2023 0:49:41,21/04/2023,00:49:41,QC01_1,IMG_0106,1,,Dalb,,
21/05/2023 17:01:40,21/05/2023,17:01:40,QC01_1,IMG_0238,1,,Acaj,,
21/05/2023 7:52:18,21/05/2023,07:52:18,QC11_2,IMG_0115,1,,Ave_sp,,
22/04/2023 4:09:11,22/04/2023,04:09:11,QC01_1,IMG_0112,1,,Ctho,,
22/05/2023 15:42:14,22/05/2023,15:42:14,QC01_1,IMG_0241,1,,Acaj,,
22/05/2023 16:00:56,22/05/2023,16:00:56,QC01_3,IMG_0127,1,,Chir,,
22/05/2023 20:40:51,22/05/2023,20:40:51,QC01_1,IMG_0244,1,,Dnov,,
